epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3553.77,1.60265,1.29927,1.91811,0.50028,0.50416,0.52908,0.25252,1.83184,1.244,2.16974,0.000738658,0.000738658,0.000738658
43,3621.45,1.61091,1.28492,1.9286,0.63859,0.4959,0.53083,0.25983,1.81134,1.20756,2.14774,0.000727077,0.000727077,0.000727077
44,3688.65,1.60473,1.2568,1.91172,0.65691,0.49195,0.5337,0.26178,1.76284,1.1918,2.1175,0.000715341,0.000715341,0.000715341
45,3756.02,1.59639,1.27528,1.92149,0.64397,0.53816,0.55199,0.26362,1.78195,1.18266,2.11562,0.000703457,0.000703457,0.000703457
46,3822.8,1.57264,1.22255,1.87962,0.75075,0.46796,0.55375,0.26721,1.77924,1.18647,2.11326,0.000691434,0.000691434,0.000691434
47,3889.46,1.58814,1.24843,1.91775,0.66684,0.48096,0.53668,0.25238,1.82459,1.24563,2.17259,0.00067928,0.00067928,0.00067928
48,3956.46,1.57194,1.23322,1.8991,0.55203,0.57367,0.56685,0.26514,1.83329,1.20677,2.17663,0.000667003,0.000667003,0.000667003
49,4023.06,1.56288,1.18667,1.88756,0.6152,0.51211,0.53095,0.26215,1.78039,1.19581,2.12109,0.000654612,0.000654612,0.000654612
50,4090.02,1.56069,1.21199,1.8851,0.47606,0.52199,0.54255,0.26534,1.77921,1.15394,2.11957,0.000642115,0.000642115,0.000642115
51,4157.84,1.57222,1.20015,1.894,0.55433,0.5301,0.55794,0.2673,1.77884,1.16655,2.12521,0.000629521,0.000629521,0.000629521
52,4225.35,1.55327,1.17412,1.87416,0.62291,0.52651,0.54459,0.26655,1.78191,1.17705,2.12413,0.000616838,0.000616838,0.000616838
53,4293.01,1.55868,1.18088,1.87521,0.61685,0.51845,0.5618,0.27581,1.79289,1.19135,2.12604,0.000604075,0.000604075,0.000604075
54,4360.92,1.54077,1.19223,1.87133,0.51137,0.5351,0.55356,0.27038,1.77738,1.20011,2.12194,0.00059124,0.00059124,0.00059124
55,4431.08,1.53442,1.14878,1.86902,0.54088,0.56459,0.57846,0.28086,1.75527,1.15414,2.10502,0.000578344,0.000578344,0.000578344
56,4499.21,1.53396,1.14399,1.86795,0.63568,0.54451,0.56622,0.27409,1.77077,1.14194,2.11079,0.000565394,0.000565394,0.000565394
57,4567.23,1.53501,1.15022,1.85493,0.66267,0.53269,0.57017,0.27034,1.79423,1.1517,2.12838,0.000552399,0.000552399,0.000552399
